Book,,Author,Time,Date Started,Date Ended,Days Taken,Min Per Day,Year,Pages,Speed,Year,Minutes,Google Book ID,Series,Speed Graph,URL,Ratings,Image Last Update
The Two Towers,,J.R.R. Tolkien,16:45:51,,23-Nov-2008,,,11-Nov-1954,464,,2008,"1,006",,Lord of the Rings-2,,http://ecx.images-amazon.com/images/I/31RYaLyTfTL._SL160.jpg,4,9-Feb-2016
Truth and Fiction in the Da Vinci Code,,Bart D. Ehrman,07:07:00,22-Feb-2009,2-Mar-2009,9,47,1-Jan-2004,240,27,2009,427,QpNKcdZKYvoC,,[][],http://ecx.images-amazon.com/images/I/51PH3Mhu8nL._SL160.jpg,3,9-Feb-2016
Angels and Demons,,Dan Brown,18:33:00,,13-Jun-2009,,0,1-May-2000,480,,2009,"1,113",d5xgYw4Ts0gC,Robert Langdon-1,,http://ecx.images-amazon.com/images/I/51MY9Q410WL._SL160.jpg,5,9-Feb-2016
Twilight,,Stephanie Meyer,12:56:00,14-Jun-2009,20-Jun-2009,7,111,5-Oct-2005,498,71,2009,776,lGjFtMRqp_YC,Twilight-1,[][][][][][],http://ecx.images-amazon.com/images/I/41mKAzgVLqL._SL160.jpg,3,9-Feb-2016
New Moon,,Stephanie Meyer,14:35:20,20-Jun-2009,29-Jun-2009,9,97,1-Aug-2006,563,63,2009,875,Ab-c_4vHZuIC,Twilight-2,[][][][][],http://ecx.images-amazon.com/images/I/410Tyb4tc0L._SL160.jpg,4,9-Feb-2016
Eclipse,,Stephanie Meyer,16:31:00,29-Jun-2009,4-Jul-2009,5,198,1-Aug-2007,629,126,2009,991,bEjboR018YYC,Twilight-2,[][][][][][][][][][],http://ecx.images-amazon.com/images/I/41G7PDsY%2B2L._SL160.jpg,3,9-Feb-2016
Breaking Dawn,,Stephanie Meyer,20:34:00,4-Jul-2009,17-Jul-2009,13,95,1-Aug-2008,756,58,2009,"1,234",Vlie5OyfQLwC,Twilight-4,[][][][][],http://ecx.images-amazon.com/images/I/41vy798SRbL._SL160.jpg,4,9-Feb-2016
Digital Fortress,,Dan Brown,11:52:00,18-Jul-2009,5-Aug-2009,19,37,1-Jan-1998,431,23,2009,712,klg0BNzAq6IC,,[][],http://ecx.images-amazon.com/images/I/51vf4zIKmWL._SL160.jpg,3,9-Feb-2016
Black Hills,,Nora Roberts,16:51:00,6-Aug-2009,1-Sep-2009,26,39,29-May-2009,480,18,2009,"1,011",Zr2oJPMnGQMC,,[][],http://ecx.images-amazon.com/images/I/51%2BvFtmwsNL._SL160.jpg,2,9-Feb-2016
The Da Vinci Code,,Dan Brown,16:43:00,,21-Sep-2009,,0,1-Jan-2003,484,,2009,"1,003",ivzfRJGrdFsC,Robert Langdon-2,,http://ecx.images-amazon.com/images/I/51-fcrLIO0L._SL160.jpg,4,9-Feb-2016
Phantoms,,Dean Koontz,14:43:00,1-Sep-2009,29-Sep-2009,29,30,1-Mar-1983,352,12,2009,883,sl-WlVneiYIC,,[][],http://ecx.images-amazon.com/images/I/51H5G0FXNrL._SL160.jpg,3,9-Feb-2016
The Lost Symbol,,Dan Brown,17:46:00,30-Sep-2009,19-Oct-2009,20,53,1-Sep-2009,670,34,2009,"1,066",s8l5ApOH2CwC,Robert Langdon-3,[][][],http://ecx.images-amazon.com/images/I/51jHvD-ZUrL._SL160.jpg,3,9-Feb-2016
Consent to Kill,,Vince Flynn,17:16:00,15-Oct-2009,20-Nov-2009,37,28,11-Oct-2005,480,13,2009,"1,036",2i98Wf4aO8kC,Mitch Rapp-6,[],http://ecx.images-amazon.com/images/I/51UkCU5qkgL._SL160.jpg,4,9-Feb-2016
Star Wars Episode II: Attack of the Clones,,R.A. Salvatore,10:20:00,21-Nov-2009,31-Dec-2009,41,15,23-Apr-2002,336,8,2009,620,nmzpzTQQKZAC,,[],http://ecx.images-amazon.com/images/I/51r2eA-1VLL._SL160.jpg,3,9-Feb-2016
The Poet,,Michael Connelly,15:21:00,1-Jan-2010,6-Jan-2010,6,154,,480,80,2010,921,QcVUqyfPj7oC,Jack McEvoy-1,[][][][][][][][],http://ecx.images-amazon.com/images/I/51zLUoDoVLL._SL160.jpg,3,9-Feb-2016
The Complete Stories of Sherlock Holmes,,Arthur Conan Doyle,20:16:00,7-Jan-2010,16-Feb-2010,41,30,,,,2010,"1,216",,,[][],http://ecx.images-amazon.com/images/I/516T+2dfYjL._SL175_.jpg,4,9-Feb-2016
Walking with God,,John Eldredge,07:01:00,17-Feb-2010,1-Apr-2010,44,10,,234,,2010,421,oM2FRyqFxkwC,,[],http://ecx.images-amazon.com/images/I/515ha8nAsJL._SL160.jpg,3,9-Feb-2016
