Field                             	Value	Books
Douglas Preston                   	13868	Relic | Reliquary | The Cabinet of Curiosities | Still Life with Crows | Brimstone | The Book of the Dead | Wheels of Darkness | Cemetery Dance | Fever Dream | Dance of Death | Cold Vengeance | Two Graves | White Fire | Blue Labyrinth | Crimson Shore | The Obsidian Chamber
Lincoln Child                     	13868	The Obsidian Chamber | Crimson Shore | Blue Labyrinth | White Fire | Two Graves | Cold Vengeance | Dance of Death | Fever Dream | Cemetery Dance | Wheels of Darkness | The Book of the Dead | Brimstone | Still Life with Crows | The Cabinet of Curiosities | Reliquary | Relic
Vince Flynn                       	12959	Term Limits | Transfer of Power | The Third Option | Executive Power | Memorial Day | Consent to Kill | Act of Treason | Protect and Defend | Extreme Measures | Pursuit of Honor | American Assassin | Separation of Power | Separtion of Power | Kill Shot | The Last Man | The Survivor | Order to Kill
George R. R. Martin               	12094	A Game of Thrones | A Clash of Kings | A Storm of Swords | A Feast for Crows | A Dance with Dragons
Stephen King                      	11963	The Shining | The Stand | The Dead Zone | It | Bag of Bones | Under the Dome | Doctor Sleep
Patricia Cornwell                 	10423	Postmortem | Body of Evidence | All That Remains | Cruel and Unusual | The Body Farm | From Potter's Field | Cause of Death | Unnatural Exposure | Point of Origin | Black Notice | The Last Precinct | Trace | Predator | Scarpetta | Blow Fly
Michael Connelly                  	 9927	The Poet | The Black Echo | The Black Ice | The Concrete Blonde | The Last Coyote | Trunk Music | Void Moon | Angels Flight | A Darkness More Than Night | City of Bones | Blood Work | Lost Light | The Narrows | The Scarecrow
Mark Tufo                         	 9688	Zombie Fallout | Zombie Fallout 2: A Plague Upon Your Family | Zombie Fallout 3.5: Dr. Hugh Mann | Zombie Fallout 3: The End | Zombie Fallout 4: The End Has Come and Gone | Encounters | Reckoning | Zombie Fallout 5: Alive in a Dead World | Conquest | Zombie Fallout 6: 'Til Death Do Us Apart | Zombie Fallout 7: For the Fallen | From the Ashes | Zombie Fallout 8: An Old Beginning | Into the Fire | Zombie Fallout 9: Tattered Remnants
James Patterson                   	 8249	Along Came a Spider | Kiss the Girls | Jack & Jill | Cat & Mouse | Pop Goes the Weasel | Roses Are Red | Violets are Blue | The Big Bad Wolf | Four Blind Mice | London Bridges | Mary, Mary | Cross | Double Cross | Cross Country | Alex Cross's Trial
Michael Crichton                  	 7557	The Andromeda Strain | Congo | Sphere | Jurassic Park | Disclosure | The Lost World | Airframe | Prey | State of Fear | Micro
J.K. Rowling                      	 6996	Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows
Timothy Zahn                      	 6688	Heir to the Empire | Dark Force Rising | The Last Command | Specter of the Past | Vision of the Future | Allegiance | Scoundrels
Stephanie Meyer                   	 6282	Twilight | New Moon | Eclipse | The Host | Breaking Dawn | The Chemist
Christopher Paolini               	 6028	Eragon | Eldest | Brisingr | Inheritance
Steve Berry                       	 5544	The Templar Legacy | The Alexandria Link | The Venetian Betrayal | The Charlemagne Pursuit | The Paris Vendetta | The Emperor's Tomb
Brad Thor                         	 4978	The Lions of Lucerne | Path of the Assassin | State of the Union | Blowback | Takedown | The First Commandment | The Last Patriot
Dan Brown                         	 4926	Digital Fortress | Angels and Demons | The Da Vinci Code | The Lost Symbol | Inferno
Robert Ludlum                     	 4764	The Bourne Identity | The Bourne Ultimatum | The Bourne Supremacy
Gemma Halliday                    	 4721	Spying in High Heels | Killer in High Heels | Alibi in High Heels | Mayhem in High Heels | Undercover in High Heels | Fearless in High Heels | Unbreakable Bond | Danger in High Heels | Homicide in High Heels | Deadly in High Heels
Arthur Conan Doyle                	 4238	The Memoirs of Shelock Holmes | The Complete Stories of Sherlock Holmes | The Hound of the Baskervilles | The Return of Shelock Holmes | The Valley of Fear | His Last Bow | The Case-Book of Sherlock Holmes
Stieg Larsson                     	 3891	The Girl with the Dragon Tattoo | The Girl Who Played with Fire | The Girl Who Kicked the Hornet's Nest
Sophie Kinsella                   	 3774	Shopaholic Ties the Knot | Confession of a Shopaholic | Shopaholic Takes Manhattan | Can You Keep a Secret? | Remember Me?
J.R.R. Tolkien                    	 3745	The Hobbit | The Fellowship of the Ring | The Two Towers | The Return of the King
William L. Shirer                 	 3433	The Rise and Fall of the Third Reich
Tom Clancy                        	 3360	The Hunt for Red October | Patriot Games | The Cardinal of the Kremlin
Dean Koontz                       	 3349	Chase | Demon Seed | Shattered | Phantoms | Lightning | Fear Nothing
Thomas Harris                     	 3125	Black Sunday | Red Dragon | The Silence of the Lambs | Hannibal | Hannibal Rising
Alexandar Dumas                   	 2596	The Count of Monte Cristo
Troy Denning                      	 2542	Star Wars - Fate of the Jedi: Abyss | Star Wars - Fate of the Jedi: Vortex | Star Wars - Fate of the Jedi: Apocalpyse
James Dashner                     	 2407	The Maze Runner | The Scorch Trials | The Death Cure | The Kill Order
Neal Stephenson                   	 2314	Reamde
Christie Golden                   	 2192	Star Wars - Fate of the Jedi: Omen | Star Wars - Fate of the Jedi: Allies | Star Wars - Fate of the Jedi - Ascention
Roald Dahl                        	 2134	James and the Giant Peach | Charlie and the Chocolate Factory | Charlie and the Great Class Elevator | Danny the Champion of the World | The Witches | Boy | Going Solo | Matilda | The BFG
Suzanne Collins                   	 2075	The Hunger Games | Catching Fire | Mockingjay
Veronica Roth                     	 2065	Divergent | Insurgent | Allegiant
Aaron Allston                     	 2059	Star Wars - Fate of the Jedi: Outcast | Star Wars - Fate of the Jedi: Backlash | Star Wars - Fate of the Jedi: Conviction
Scott Meyer                       	 2020	Off to be the Wizard | Spell or High Water | An Unwelcomed Quest
Diana Gabaldon                    	 1962	Outlander
Walter Isaacson                   	 1945	Einstein: His Life and Universe | Steve Jobs
Neal Gabler                       	 1930	Walt Disney: The Triumph of the American Imagination
Kyle Mills                        	 1924	Order to Kill | The Survivor | Enemy of the State
Robert Jordan                     	 1799	The Eye of the World
Stephen R. Covey                  	 1642	The 7 Habits of Highly Effective People | The 8th Habit
Nelson DeMille                    	 1492	The Lion's Game
Arnold Schwarzenegger             	 1404	Total Recall: My Truly Unbelievably Life Story
Max Brooks                        	 1347	The Zombie Survival Guide | World War Z
Bryce Courtenay                   	 1290	The Power of One
Chris Taylor                      	 1242	How Star Wars Conquered the Universe
Larry Niven                       	 1227	The Mote in God's Eyes
Jerry Pournelle                   	 1227	The Mote in God's Eyes
Caleb Carr                        	 1202	The Alienist
Gillian Flynn                     	 1151	Gone Girl
Bill Bryson                       	 1142	A Short History of Nearly Everything
Kathryn Stockett                  	 1086	The Help
Sylvia Nasar                      	 1085	A Beautiful Mind
Henning Mankell                   	 1024	The Fifth Woman
Nora Roberts                      	 1011	Black Hills
David Lagercrantz                 	 1006	The Girl in the Spider's Web
Sam Gennawey                      	  991	The DIsneyland Story: The Unofficial Guide to the Evolution of Walt Disney's Dream
John Grisham                      	  958	A Time to Kill
Ernest Cline                      	  941	Ready Player One
Daphne du Maurier                 	  889	Rebecca
Truman Capote                     	  868	In Cold Blood
Markus Zusak                      	  836	The Book Thief
Sean Williams                     	  828	The Old Republic: Fatal Alliance
Guillermo del Toro and Chuck Hogan	  816	The Strain
P.D. James                        	  815	The Private Patient
Fredrick Forsyth                  	  801	The Day of the Jackal
M. R. Carey                       	  785	The Girl With All the Gifts
Mitch Albom                       	  738	Five People You Meet in Heaven | The First Phone Call From Heaven
Neil deGrasse Tyson               	  728	Death by Black Hole
Alice Sebold                      	  698	The Lovely Bones
Sara Gruen                        	  686	Water for Elephants
Jeffery Deaver                    	  684	The Bone Collector
Henry T Blackaby                  	  676	Experiencing God
Harper Lee                        	  659	To Kill a Mockingbird
Paula Hawkins                     	  657	The Girl on the Train
Andy Weir                         	  653	The Martian
R.A. Salvatore                    	  620	Star Wars Episode II: Attack of the Clones
Alan Dean Foster                  	  619	Star Wars: The Force Awakens
Peter Benchley                    	  579	Jaws
George Orwell                     	  579	1984
Dr Richard Berendzen              	  569	Pulp Physics
Ken Follett                       	  556	Eye of the Needle
Rick Warren                       	  542	The Purpose Driven Life
Ha-Joon Chang                     	  538	23 Things They Don't Tell you about Capitalism
William P. Young                  	  512	The Shack
Frances Hodgson Burnett           	  507	The Secret Garden
Charles R. Swindoll               	  484	Great Lives: Joseph - A Man of Integrity and Forgiveness
Neil Gaiman                       	  463	The Graveyard Book
Jules Verne                       	  462	Around the World in 80 Days
Cormac McCarthy                   	  449	No Country for Old Men
Bart D. Ehrman                    	  427	Truth and Fiction in the Da Vinci Code
Dashiell Hammett                  	  426	The Maltese Falcon
John Eldredge                     	  421	Walking with God
Garth Stein                       	  417	The Art of Racing in the Rain
William Irwin                     	  407	The Matrix and Philosophy
Robert Louis Stevenson            	  403	Treasure Island
Jennifer Fischetto                	  385	Unbreakable Bond
Bernard Goldberg                  	  375	100 People Who Are Screwing Up America
H. G. Wells                       	  373	War of the Worlds
John D. MacDonald                 	  372	Cape Fear
Agatha Christie                   	  362	And Then There Were None
Paul Jennings                     	  357	Unbelievable | Unbearable
J. M. Barrie                      	  340	Peter Pan
Robert Bloch                      	  322	Psycho
Gary Chapman                      	  286	The Five Love Languages
John Buchan                       	  279	The Thirty Nine Steps
Francis Chan                      	  259	Crazy Love
Charles Dickens                   	  178	A Christmas Carol
Washington Irving                 	   75	The Legend of Sleepy Hallow
Lewis Carroll                     	    0	Alice in Wonderland
