Field                             	Value	Books
Andy Weir                         	 5.00	The Martian
William P. Young                  	 5.00	The Shack
Paula Hawkins                     	 5.00	The Girl on the Train
J.K. Rowling                      	 4.57	Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows
Suzanne Collins                   	 4.50	The Hunger Games | Catching Fire | Mockingjay
Christian White                   	 4.50	The Nowhere Child
J.R.R. Tolkien                    	 4.50	The Hobbit | The Fellowship of the Ring | The Two Towers | The Return of the King
Stieg Larsson                     	 4.50	The Girl with the Dragon Tattoo | The Girl Who Played with Fire | The Girl Who Kicked the Hornet's Nest
Jeff Kinney                       	 4.50	Diary of a Wimpy Kid | Rodrick Rules | The Last Straw | Dog Days | The Ugly Truth | Cabin Fever
Gary Chapman                      	 4.50	The Five Love Languages
Kenneth Barish                    	 4.50	Pride and Joy: A Guide to Understanding Your Child's Emotions and Solving Family Problems
Vince Flynn                       	 4.29	Term Limits | Transfer of Power | The Third Option | Executive Power | Memorial Day | Consent to Kill | Act of Treason | Protect and Defend | Extreme Measures | Pursuit of Honor | American Assassin | Separtion of Power | Separation of Power | Kill Shot | The Last Man | The Survivor | Order to Kill
Ernest Cline                      	 4.25	Ready Player One | Armada
Tom Clancy                        	 4.25	Without Remorse | The Hunt for Red October | Patriot Games | The Cardinal of the Kremlin | Clear and Present Danger | The Sum of All Fears | Debt of Honor | Executive Orders | Rainbow Six | The Bear and the Dragon
Scott Meyer                       	 4.25	Off to be the Wizard | Spell or High Water | An Unwelcomed Quest | Fight and Flight
Michael Connelly                  	 4.18	The Poet | The Black Echo | The Black Ice | The Concrete Blonde | The Last Coyote | Trunk Music | Void Moon | Angels Flight | A Darkness More Than Night | City of Bones | Blood Work | Lost Light | The Narrows | The Closers | The Lincoln Lawyer | Echo Park | The Overlook | Brass Verdict | The Scarecrow | Nine Dragons | The Reversal | The Fifth Witness
