Field	Value	Books
1840 	    2	A Christmas Carol | The Count of Monte Cristo
1860 	    1	Alice in Wonderland
1870 	    1	Around the World in 80 Days
1880 	    1	Treasure Island
1890 	    2	The Memoirs of Shelock Holmes | War of the Worlds
1900 	    7	The Complete Stories of Sherlock Holmes | The Poet | Shopaholic Ties the Knot | Experiencing God | Walking with God | Harry Potter and the Philosopher's Stone | The Hound of the Baskervilles | The Return of Shelock Holmes
1910 	    5	The Secret Garden | Peter Pan | The Valley of Fear | The Thirty Nine Steps | His Last Bow
1920 	    1	The Case-Book of Sherlock Holmes
1930 	    4	The Maltese Falcon | The Hobbit | The Hobbit | Rebecca | And Then There Were None
1940 	    1	1984
1950 	    5	The Fellowship of the Ring | The Fellowship of the Ring | The Two Towers | The Two Towers | The Two Towers | The Return of the King | The Return of the King | Cape Fear | Psycho
1960 	    6	To Kill a Mockingbird | The Rise and Fall of the Third Reich | James and the Giant Peach | Charlie and the Chocolate Factory | In Cold Blood | The Andromeda Strain
1970 	   11	Chase | Charlie and the Great Class Elevator | Demon Seed | The Mote in God's Eyes | Jaws | Black Sunday | Danny the Champion of the World | The Shining | Eye of the Needle | The Stand | The Dead Zone
1980 	   16	The Bourne Identity | Congo | Red Dragon | The Witches | Phantoms | Boy | The Hunt for Red October | It | Going Solo | Unbelievable | Patriot Games | Matilda | Lightning | The Silence of the Lambs | A Time to Kill | The 7 Habits of Highly Effective People | The 7 Habits of Highly Effective People
1990 	   51	The Five Love Languages | Postmortem | The Eye of the World | The Bourne Ultimatum | The Power of One | Jurassic Park | Outlander | Heir to the Empire | Body of Evidence | Dark Force Rising | The Black Echo | All That Remains | The Last Command | The Black Ice | Along Came a Spider | Cruel and Unusual | The Alienist | The Concrete Blonde | The Body Farm | The Lost World | Kiss the Girls | Relic | The Last Coyote | From Potter's Field | Cause of Death | A Game of Thrones | Jack & Jill | Airframe | Term Limits | Fear Nothing | The Bone Collector | Cat & Mouse | Trunk Music | Reliquary | Harry Potter and the Philosopher's Stone | Harry Potter and the Philosopher's Stone | Unnatural Exposure | Specter of the Past | Digital Fortress | Great Lives: Joseph - A Man of Integrity and Forgiveness | A Beautiful Mind | Harry Potter and the Chamber of Secrets | Harry Potter and the Chamber of Secrets | Harry Potter and the Chamber of Secrets | Point of Origin | Vision of the Future | Bag of Bones | Transfer of Power | Transfer of Power | Pop Goes the Weasel | A Clash of Kings | Hannibal | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Prisoner of Azkaban | Black Notice | Void Moon
