Field                            	Value	Books
Star Wars: Thrawn                	 5.00	Heir to the Empire | Dark Force Rising | The Last Command
Magic 2.0                        	 4.83	Off to be the Wizard | Spell or High Water | An Unwelcomed Quest
Jurassic Park                    	 4.75	Jurassic Park | The Lost World
Hunger Games                     	 4.50	The Hunger Games | Catching Fire | Mockingjay
Charlie and the Chocolate Factory	 4.50	Charlie and the Chocolate Factory | Charlie and the Great Class Elevator
Lord of the Rings                	 4.50	The Fellowship of the Ring | The Two Towers | The Return of the King
Mickey Haller                    	 4.50	The Lincoln Lawyer | Brass Verdict
Jack Ryan                        	 4.43	The Hunt for Red October | Patriot Games | The Cardinal of the Kremlin | Clear and Present Danger | The Sum of All Fears | Debt of Honor | Executive Orders
Millennium                       	 4.30	The Girl with the Dragon Tattoo | The Girl Who Played with Fire | The Girl Who Kicked the Hornet's Nest | The Girl in the Spider's Web | The Girl Who Takes an Eye for an Eye
Harry Bosch                      	 4.27	The Black Echo | The Black Ice | The Concrete Blonde | The Last Coyote | Trunk Music | Angels Flight | A Darkness More Than Night | City of Bones | Lost Light | The Narrows | The Closers | Echo Park | The Overlook
Mitch Rapp                       	 4.25	Term Limits | Transfer of Power | The Third Option | Separtion of Power | Separation of Power | Executive Power | Memorial Day | Consent to Kill | Act of Treason | Protect and Defend | Extreme Measures | Pursuit of Honor | American Assassin | Kill Shot | The Last Man | The Survivor | Order to Kill | Enemy of the State
Harry Potter                     	 4.21	Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows
Maze Runner                      	 4.00	The Kill Order | The Maze Runner | The Scorch Trials | The Death Cure
The Shining                      	 4.00	The Shining | Doctor Sleep
Shopaholic                       	 4.00	Confession of a Shopaholic | Shopaholic Takes Manhattan | Shopaholic Ties the Knot
Jake Brigance                    	 4.00	A Time to Kill
Robert Langdon                   	 4.00	Angels and Demons | The Da Vinci Code | The Lost Symbol | Inferno
To Kill a Mockingbird            	 4.00	To Kill a Mockingbird
Lincoln Rhyme                    	 4.00	The Bone Collector
Terrell McCaleb                  	 4.00	Blood Work
Star Wars: Old Republic          	 4.00	The Old Republic: Fatal Alliance
Jamie Bond                       	 4.00	Unbreakable Bond
Psycho                           	 4.00	Psycho
