Display	NumberOfBooks	MinutesDisplay	PagesDisplay	Books
2017-5 	            1	       17h 46m	         670	The Lost Symbol
2017-4 	            2	       35h 16m	         964	The Da Vinci Code | Angels and Demons
2017-3 	            5	       47h 09m	       1,526	Pulp Physics | From the Ashes | The First Phone Call From Heaven | The Andromeda Strain | Off to be the Wizard
2017-2 	            4	       39h 38m	       1,495	Void Moon | No Country for Old Men | London Bridges | Path of the Assassin
2017-1 	            2	       41h 22m	       1,176	Inheritance | The Kill Order
2016-12	            7	       86h 43m	       3,134	Brisingr | The Maltese Falcon | Angels Flight | The Big Bad Wolf | The Matrix and Philosophy | The Lions of Lucerne | Conquest
2016-11	            5	       65h 29m	       2,169	Order to Kill | A Short History of Nearly Everything | Reckoning | Prey | Zombie Fallout 9: Tattered Remnants
2016-10	            1	       12h 58m	         358	The 7 Habits of Highly Effective People
2016-9 	            3	       35h 13m	       1,166	Crimson Shore | Four Blind Mice | The DIsneyland Story: The Unofficial Guide to the Evolution of Walt Disney's Dream
2016-8 	            2	       36h 15m	       1,148	Eldest | Blood Work
2016-7 	            4	       63h 54m	       1,963	Blue Labyrinth | Walt Disney: The Triumph of the American Imagination | Encounters | 100 People Who Are Screwing Up America
2016-6 	            4	       54h 45m	       1,689	The Alienist | The Book Thief | Trunk Music | Violets are Blue
2016-5 	            3	       28h 56m	         988	Unbreakable Bond | Demon Seed | Eragon
2016-4 	            2	       20h 25m	         784	Roses Are Red | White Fire
2016-3 	            4	       54h 24m	       1,609	A Time to Kill | Black Sunday | Ready Player One | The Last Coyote
2016-2 	            6	       50h 31m	       1,978	The Concrete Blonde | Pop Goes the Weasel | Two Graves | Deadly in High Heels | Chase | Unbelievable
2016-1 	            2	       53h 35m	       1,548	The Count of Monte Cristo | Star Wars: The Force Awakens
2015-12	            8	       90h 06m	       2,810	Cold Vengeance | How Star Wars Conquered the Universe | The Hunger Games | Catching Fire | Mockingjay | Homicide in High Heels | Zombie Fallout 8: An Old Beginning | Going Solo
2015-11	            4	       97h 31m	       2,546	The Rise and Fall of the Third Reich | Doctor Sleep | The Black Ice | Cat & Mouse
2015-10	            8	       79h 35m	       2,691	Jack & Jill | The Survivor | The Martian | Fever Dream | Danger in High Heels | Zombie Fallout 7: For the Fallen | Boy | Eye of the Needle
2015-9 	            8	       98h 25m	       2,787	Cemetery Dance | Fearless in High Heels | Zombie Fallout 6: 'Til Death Do Us Apart | The Girl in the Spider's Web | James and the Giant Peach | Rebecca | The Dead Zone | The Black Echo
2015-8 	            8	       70h 31m	       2,727	Zombie Fallout 5: Alive in a Dead World | Charlie and the Great Class Elevator | The Bone Collector | The Valley of Fear | His Last Bow | The Case-Book of Sherlock Holmes | Predator | Kiss the Girls
2015-7 	            4	       45h 58m	       1,587	Trace | Along Came a Spider | Wheels of Darkness | Mayhem in High Heels
2015-6 	            3	       79h 20m	       2,090	It | Total Recall: My Truly Unbelievably Life Story | To Kill a Mockingbird
2015-5 	            3	       24h 05m	         858	Alibi in High Heels | Zombie Fallout 4: The End Has Come and Gone | The Witches
2015-4 	            2	       44h 33m	       1,269	The Bourne Ultimatum | The Book of the Dead
2015-3 	            3	       34h 20m	       1,296	American Assassin | Kill Shot | The Last Man
2015-2 	            5	       62h 36m	       2,158	Consent to Kill | Act of Treason | Protect and Defend | Extreme Measures | Pursuit of Honor
2015-1 	            5	       68h 59m	       1,933	Transfer of Power | The Third Option | Separtion of Power | Executive Power | Memorial Day
2014-12	            5	       34h 26m	       1,382	Zombie Fallout 3.5: Dr. Hugh Mann | The BFG | The Legend of Sleepy Hallow | The Day of the Jackal | Blow Fly
2014-11	            4	       72h 52m	       1,902	Gone Girl | Undercover in High Heels | The Bourne Supremacy | Dance of Death
2014-10	            6	       79h 39m	       2,425	The Two Towers | The Return of the King | The Last Precinct | The Maze Runner | The Scorch Trials | The Death Cure
2014-9 	            5	       90h 21m	       2,410	The Stand | Around the World in 80 Days | The Hobbit | The Fellowship of the Ring | Five People You Meet in Heaven
2014-8 	            3	       24h 59m	         856	Killer in High Heels | Zombie Fallout 3: The End | Danny the Champion of the World
2014-7 	            2	       42h 02m	       1,022	The Bourne Identity | Brimstone
2014-6 	            2	       27h 55m	         775	Term Limits | Black Notice
2014-5 	            2	       42h 09m	       1,207	Vision of the Future | The Shining
2014-4 	            3	       35h 51m	       1,089	Still Life with Crows | Spying in High Heels | Zombie Fallout 2: A Plague Upon Your Family
2014-3 	            4	       46h 24m	       1,451	Micro | In Cold Blood | Point of Origin | Hannibal Rising
2014-2 	            4	       53h 25m	       1,722	Hannibal | The Cabinet of Curiosities | Remember Me? | Zombie Fallout
2014-1 	            3	       24h 24m	       1,298	And Then There Were None | Einstein: His Life and Universe | Unnatural Exposure
2013-12	            5	       60h 01m	       1,914	Reliquary | Can You Keep a Secret? | Red Dragon | The Silence of the Lambs | Allegiance
2013-11	            5	       67h 49m	       2,134	The Eye of the World | Scoundrels | A Christmas Carol | Cause of Death | Allegiant
2013-10	            5	       92h 30m	       2,511	A Dance with Dragons | Specter of the Past | The Art of Racing in the Rain | From Potter's Field | Relic
2013-9 	            2	       25h 26m	         672	The Body Farm | World War Z
2013-8 	            3	       82h 13m	       2,301	A Feast for Crows | The Old Republic: Fatal Alliance | Under the Dome
2013-7 	            3	       30h 07m	         970	1984 | Cruel and Unusual | The Zombie Survival Guide
2013-6 	            3	       77h 51m	       2,060	Shopaholic Ties the Knot | A Storm of Swords | The Last Command
2013-5 	            4	       45h 32m	       1,658	The Return of Shelock Holmes | The Hound of the Baskervilles | All That Remains | Inferno
2013-4 	            3	       61h 29m	       1,649	A Clash of Kings | Dark Force Rising | The Memoirs of Shelock Holmes
2013-3 	            1	       12h 39m	         388	Shopaholic Takes Manhattan
2013-2 	            2	       40h 49m	       1,436	Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows
2013-1 	            3	       58h 46m	       2,039	Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix
2012-12	            4	       45h 44m	       1,300	Body of Evidence | Angels and Demons | Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets
2012-11	            4	       80h 19m	       2,177	A Game of Thrones | Heir to the Empire | The Power of One | The Last Man
2012-10	            2	       23h 09m	         616	Postmortem | Confession of a Shopaholic
2012-9 	            5	       44h 04m	       1,639	Charlie and the Chocolate Factory | Star Wars - Fate of the Jedi: Apocalpyse | Matilda | The Emperor's Tomb | Peter Pan
2012-8 	            4	       50h 10m	       1,760	The Paris Vendetta | The 8th Habit | Kill Shot | Insurgent
2012-7 	            6	       79h 53m	       2,529	The Lost World | American Assassin | The Help | Divergent | Star Wars - Fate of the Jedi - Ascention | 23 Things They Don't Tell you about Capitalism
2012-6 	            3	       41h 19m	       1,308	Star Wars - Fate of the Jedi: Conviction | Jurassic Park | The Charlemagne Pursuit
2012-5 	            4	       45h 19m	       1,550	The Venetian Betrayal | Treasure Island | Pursuit of Honor | Water for Elephants
2012-4 	            5	       54h 56m	       1,723	The Alexandria Link | The Thirty Nine Steps | Extreme Measures | Star Wars - Fate of the Jedi: Vortex | War of the Worlds
2012-3 	            4	       47h 28m	       1,489	The Templar Legacy | Protect and Defend | Star Wars - Fate of the Jedi: Allies | Great Lives: Joseph - A Man of Integrity and Forgiveness
2012-2 	            5	       88h 38m	       2,214	The Girl Who Kicked the Hornet's Nest | Outlander | Act of Treason | Star Wars - Fate of the Jedi: Backlash | The Shack
2012-1 	            3	       32h 41m	         966	Star Wars - Fate of the Jedi: Abyss | The Fifth Woman | Crazy Love
2011-12	            2	       51h 54m	       1,463	Reamde | Memorial Day
2011-10	            6	      105h 17m	       2,959	The Girl Who Played with Fire | Lightning | Executive Power | Star Wars - Fate of the Jedi: Omen | The Lion's Game | Steve Jobs
2011-9 	            3	       44h 39m	       1,223	The Mote in God's Eyes | Separation of Power | Star Wars - Fate of the Jedi: Outcast
2011-8 	            4	       54h 29m	       1,732	Mockingjay | Death by Black Hole | The Third Option | The Girl with the Dragon Tattoo
2011-7 	            6	       81h 09m	       2,666	The Graveyard Book | Scarpetta | State of Fear | The Strain | Catching Fire | Transfer of Power
2011-6 	            4	       44h 08m	       1,428	Experiencing God | Fear Nothing | The Hunger Games | The Purpose Driven Life
2011-5 	            3	       51h 21m	       1,411	The Fellowship of the Ring | The Two Towers | The Return of the King
2011-4 	            1	       11h 04m	         310	The Hobbit
2011-3 	            1	        9h 39m	         311	Jaws
2011-2 	            3	       30h 05m	       1,210	Harry Potter and the Deathly Hollows | Alice in Wonderland | The Secret Garden
2011-1 	            2	       45h 33m	       1,522	Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince
2010-12	            1	       20h 36m	         734	Harry Potter and the Goblet of Fire
2010-11	            4	       37h 15m	       1,260	The Da Vinci Code | Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban
2010-10	            1	       11h 38m	         328	The Lovely Bones
2010-9 	            1	       11h 17m	         448	The Scarecrow
2010-8 	            2	       28h 27m	         804	The Host | Psycho
2010-7 	            1	       12h 58m	         358	The 7 Habits of Highly Effective People
2010-6 	            1	       13h 35m	         416	The Private Patient
2010-4 	            1	        7h 01m	         234	Walking with God
2010-2 	            1	       20h 16m	           0	The Complete Stories of Sherlock Holmes
2010-1 	            1	       15h 21m	         480	The Poet
