Field	Value	Books
2008 	    1	The Two Towers
2009 	   13	Truth and Fiction in the Da Vinci Code | Angels and Demons | Twilight | New Moon | Eclipse | Breaking Dawn | Digital Fortress | Black Hills | The Da Vinci Code | Phantoms | The Lost Symbol | Consent to Kill | Star Wars Episode II: Attack of the Clones
2010 	   14	The Poet | The Complete Stories of Sherlock Holmes | Walking with God | The Private Patient | The 7 Habits of Highly Effective People | The Host | Psycho | The Scarecrow | The Lovely Bones | The Da Vinci Code | Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets | Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire
2011 	   35	Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows | Alice in Wonderland | The Secret Garden | Jaws | The Hobbit | The Fellowship of the Ring | The Two Towers | The Return of the King | Experiencing God | Fear Nothing | The Hunger Games | The Purpose Driven Life | The Graveyard Book | Scarpetta | State of Fear | The Strain | Catching Fire | Transfer of Power | Mockingjay | Death by Black Hole | The Third Option | The Girl with the Dragon Tattoo | The Mote in God's Eyes | Separation of Power | Star Wars - Fate of the Jedi: Outcast | The Girl Who Played with Fire | Lightning | Executive Power | Star Wars - Fate of the Jedi: Omen | The Lion's Game | Steve Jobs | Reamde | Memorial Day
2012 	   49	Star Wars - Fate of the Jedi: Abyss | The Fifth Woman | Crazy Love | The Girl Who Kicked the Hornet's Nest | Outlander | Act of Treason | Star Wars - Fate of the Jedi: Backlash | The Shack | The Templar Legacy | Protect and Defend | Star Wars - Fate of the Jedi: Allies | Great Lives: Joseph - A Man of Integrity and Forgiveness | The Alexandria Link | The Thirty Nine Steps | Extreme Measures | Star Wars - Fate of the Jedi: Vortex | War of the Worlds | The Venetian Betrayal | Treasure Island | Pursuit of Honor | Water for Elephants | Star Wars - Fate of the Jedi: Conviction | Jurassic Park | The Charlemagne Pursuit | The Lost World | American Assassin | The Help | Divergent | Star Wars - Fate of the Jedi - Ascention | 23 Things They Don't Tell you about Capitalism | The Paris Vendetta | The 8th Habit | Kill Shot | Insurgent | Charlie and the Chocolate Factory | Star Wars - Fate of the Jedi: Apocalpyse | Matilda | The Emperor's Tomb | Peter Pan | Postmortem | Confession of a Shopaholic | A Game of Thrones | Heir to the Empire | The Power of One | The Last Man | Body of Evidence | Angels and Demons | Harry Potter and the Philosopher's Stone | Harry Potter and the Chamber of Secrets
2013 	   39	Harry Potter and the Prisoner of Azkaban | Harry Potter and the Goblet of Fire | Harry Potter and the Order of Phoenix | Harry Potter and the Half Blood Prince | Harry Potter and the Deathly Hollows | Shopaholic Takes Manhattan | A Clash of Kings | Dark Force Rising | The Memoirs of Shelock Holmes | The Return of Shelock Holmes | The Hound of the Baskervilles | All That Remains | Inferno | Shopaholic Ties the Knot | A Storm of Swords | The Last Command | 1984 | Cruel and Unusual | The Zombie Survival Guide | A Feast for Crows | The Old Republic: Fatal Alliance | Under the Dome | The Body Farm | World War Z | A Dance with Dragons | Specter of the Past | The Art of Racing in the Rain | From Potter's Field | Relic | The Eye of the World | Scoundrels | A Christmas Carol | Cause of Death | Allegiant | Reliquary | Can You Keep a Secret? | Red Dragon | The Silence of the Lambs | Allegiance
2014 	   43	And Then There Were None | Einstein: His Life and Universe | Unnatural Exposure | Hannibal | The Cabinet of Curiosities | Remember Me? | Zombie Fallout | Micro | In Cold Blood | Point of Origin | Hannibal Rising | Still Life with Crows | Spying in High Heels | Zombie Fallout 2: A Plague Upon Your Family | Vision of the Future | The Shining | Term Limits | Black Notice | The Bourne Identity | Brimstone | Killer in High Heels | Zombie Fallout 3: The End | Danny the Champion of the World | The Stand | Around the World in 80 Days | The Hobbit | The Fellowship of the Ring | Five People You Meet in Heaven | The Two Towers | The Return of the King | The Last Precinct | The Maze Runner | The Scorch Trials | The Death Cure | Gone Girl | Undercover in High Heels | The Bourne Supremacy | Dance of Death | Zombie Fallout 3.5: Dr. Hugh Mann | The BFG | The Legend of Sleepy Hallow | The Day of the Jackal | Blow Fly
2015 	   61	Transfer of Power | The Third Option | Separtion of Power | Executive Power | Memorial Day | Consent to Kill | Act of Treason | Protect and Defend | Extreme Measures | Pursuit of Honor | American Assassin | Kill Shot | The Last Man | The Bourne Ultimatum | The Book of the Dead | Alibi in High Heels | Zombie Fallout 4: The End Has Come and Gone | The Witches | It | Total Recall: My Truly Unbelievably Life Story | To Kill a Mockingbird | Trace | Along Came a Spider | Wheels of Darkness | Mayhem in High Heels | Zombie Fallout 5: Alive in a Dead World | Charlie and the Great Class Elevator | The Bone Collector | The Valley of Fear | His Last Bow | The Case-Book of Sherlock Holmes | Predator | Kiss the Girls | Cemetery Dance | Fearless in High Heels | Zombie Fallout 6: 'Til Death Do Us Apart | The Girl in the Spider's Web | James and the Giant Peach | Rebecca | The Dead Zone | The Black Echo | Jack & Jill | The Survivor | The Martian | Fever Dream | Danger in High Heels | Zombie Fallout 7: For the Fallen | Boy | Eye of the Needle | The Rise and Fall of the Third Reich | Doctor Sleep | The Black Ice | Cat & Mouse | Cold Vengeance | How Star Wars Conquered the Universe | The Hunger Games | Catching Fire | Mockingjay | Homicide in High Heels | Zombie Fallout 8: An Old Beginning | Going Solo
2016 	   43	The Count of Monte Cristo | Star Wars: The Force Awakens | The Concrete Blonde | Pop Goes the Weasel | Two Graves | Deadly in High Heels | Chase | Unbelievable | A Time to Kill | Black Sunday | Ready Player One | The Last Coyote | Roses Are Red | White Fire | Unbreakable Bond | Demon Seed | Eragon | The Alienist | The Book Thief | Trunk Music | Violets are Blue | Blue Labyrinth | Walt Disney: The Triumph of the American Imagination | Encounters | 100 People Who Are Screwing Up America | Eldest | Blood Work | Crimson Shore | Four Blind Mice | The DIsneyland Story: The Unofficial Guide to the Evolution of Walt Disney's Dream | The 7 Habits of Highly Effective People | Order to Kill | A Short History of Nearly Everything | Reckoning | Prey | Zombie Fallout 9: Tattered Remnants | Brisingr | The Maltese Falcon | Angels Flight | The Big Bad Wolf | The Matrix and Philosophy | The Lions of Lucerne | Conquest
2017 	    5	Inheritance | The Kill Order | Void Moon | No Country for Old Men | London Bridges
